PULocationID,pickup_zone,pickup_hour,trips,avg_duration_min,median_duration_min,expected_duration_min,p90_duration_min,delay_rate,month,metric,low_sample
41,Central Harlem,16,1024,23.797884114583333,16.6,16.6,50.54166666666667,0.515625,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,20,1220,15.49061475409836,13.033333333333335,13.033333333333335,26.955000000000005,0.5122950819672131,2026-01,avg_duration_by_zone_hour,False
216,South Ozone Park,15,139,23.20695443645084,11.216666666666667,11.216666666666667,57.75000000000001,0.5035971223021583,2026-01,avg_duration_by_zone_hour,False
41,Central Harlem,17,1216,20.470888157894734,15.641666666666666,14.508333333333333,39.99166666666667,0.5016447368421053,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,13,1807,19.697343663530713,15.15,14.675,36.96333333333334,0.5008301051466519,2026-01,avg_duration_by_zone_hour,False
216,South Ozone Park,18,104,21.754647435897432,12.0,12.0,51.29666666666667,0.5,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,12,1705,19.790136852394916,15.266666666666667,14.725,39.5,0.49560117302052786,2026-01,avg_duration_by_zone_hour,False
41,Central Harlem,15,1030,20.017912621359223,15.925,15.925,36.77,0.49223300970873785,2026-01,avg_duration_by_zone_hour,False
246,West Chelsea/Hudson Yards,3,1188,11.461097081930415,9.05,9.05,21.464999999999996,0.49158249158249157,2026-01,avg_duration_by_zone_hour,False
216,South Ozone Park,2,57,16.121637426900584,11.25,11.25,28.073333333333334,0.49122807017543857,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,15,2283,21.297503285151116,15.733333333333333,15.15,42.75000000000004,0.489706526500219,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,11,1770,19.79846516007533,15.816666666666666,14.766666666666666,37.295000000000016,0.4847457627118644,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,10,1641,18.493428803575057,14.466666666666667,14.466666666666667,34.9,0.4844606946983547,2026-01,avg_duration_by_zone_hour,False
135,Kew Gardens Hills,13,31,36.82956989247312,20.616666666666667,20.616666666666667,81.5,0.4838709677419355,2026-01,avg_duration_by_zone_hour,False
248,West Farms/Bronx River,21,31,22.850537634408603,18.133333333333333,18.133333333333333,33.65,0.4838709677419355,2026-01,avg_duration_by_zone_hour,False
108,Gravesend,10,46,44.039492753623186,26.825000000000003,26.825000000000003,83.375,0.4782608695652174,2026-01,avg_duration_by_zone_hour,False
75,East Harlem South,19,1575,16.46284656084656,13.85,13.85,29.92666666666667,0.4774603174603175,2026-01,avg_duration_by_zone_hour,False
74,East Harlem North,16,882,23.249338624338627,18.15,18.15,43.00833333333332,0.47732426303854875,2026-01,avg_duration_by_zone_hour,False
135,Kew Gardens Hills,9,44,34.82121212121212,25.566666666666666,25.566666666666666,72.83833333333334,0.4772727272727273,2026-01,avg_duration_by_zone_hour,False
