month,metric,scope,condition,pickup_borough,trips,delay_rate,avg_duration_min,avg_temperature_c
2026-02,weather_delay_rate,citywide,rainy,ALL,296118,0.27683558581376344,16.422462216638863,0.9119563822530208
2026-02,weather_delay_rate,citywide,dry,ALL,2992825,0.3360413655993919,18.033689312494605,-3.0234745432826866
2026-02,weather_delay_rate,borough,dry,Bronx,30945,0.3679108095007271,35.459289061237676,-4.115485538859266
2026-02,weather_delay_rate,borough,rainy,Bronx,3389,0.35556211271761584,32.28485787351235,0.5799645913248744
2026-02,weather_delay_rate,borough,dry,Brooklyn,133590,0.3322554083389475,29.949037976894477,-4.068984205404597
2026-02,weather_delay_rate,borough,rainy,Brooklyn,13919,0.30461958474028306,27.90914577196638,0.2992959264314966
2026-02,weather_delay_rate,borough,dry,EWR,28,0.42857142857142855,22.322619047619046,-1.7464285714285714
2026-02,weather_delay_rate,borough,rainy,EWR,2,0.5,14.925,1.6
2026-02,weather_delay_rate,borough,dry,Manhattan,2568808,0.34560309684491797,15.610368161679139,-2.9476171827555824
2026-02,weather_delay_rate,borough,rainy,Manhattan,251531,0.28086796458488217,14.110765405987065,0.9298798160067745
2026-02,weather_delay_rate,borough,dry,Queens,255548,0.23693004836664736,34.03549854952232,-3.103746067275034
2026-02,weather_delay_rate,borough,rainy,Queens,26879,0.2123962945050039,30.06750251125414,1.1050522712898545
2026-02,weather_delay_rate,borough,dry,Staten Island,358,0.4860335195530726,26.98989757914339,-4.898603351955307
2026-02,weather_delay_rate,borough,rainy,Staten Island,49,0.5714285714285714,30.969387755102044,0.05510204081632653
2026-02,weather_delay_rate,borough,dry,Unknown,3548,0.40050732807215333,18.451780345734683,-3.0945885005636975
2026-02,weather_delay_rate,borough,rainy,Unknown,349,0.4183381088825215,17.4189111747851,0.897134670487106
